longitude,latitude,vs30,id_admin2
36.165760193,36.190812969,800.12680896,408.0
36.145846307,36.201762218,345.43153941,408.0
36.168709506,36.200815109,752.70571411,408.0
36.171222501,36.200219156,796.87193244,408.0
36.169666015,36.196452674,801.98895435,408.0
36.151277819,36.195487259,408.68976635,408.0
36.155208962,36.209130455,357.49654686,408.0
36.137247101,36.194768292,365.55750178,408.0
36.166305711,36.200256957,713.59954179,408.0
36.165744933,36.200340789,697.67663501,408.0
36.145818796,36.210641883,326.63675486,408.0
36.145735103,36.210772213,326.45265543,408.0
36.167300298,36.197832047,769.31134546,408.0
36.155058408,36.208799699,358.10669757,408.0
36.175027306,36.205632613,792.32801023,408.0
36.150715586,36.208138958,347.52414598,408.0
36.16570438,36.204263133,604.24937135,408.0
36.147222574,36.192030447,396.57607647,408.0
36.156558439,36.204468761,387.16547116,408.0
36.141782517,36.2104818,314.28719279,408.0
36.171246399,36.205045716,730.80222114,408.0
36.157283649,36.193247188,573.30492915,408.0
36.139879091,36.200634303,341.36790981,408.0
36.166084064,36.1960437,770.44193118,408.0
36.152798026,36.205062472,361.28537731,408.0
36.168958922,36.198361069,786.34358204,408.0
36.168424488,36.198687862,776.17044075,408.0
36.150776605,36.205093336,353.58016349,408.0
36.147432488,36.197215724,367.80776936,408.0
36.144880704,36.19822745,359.63041558,408.0
36.137522512,36.207745471,311.18529709,408.0
36.16375242,36.198415286,668.62157402,408.0
36.1567817,36.209718604,362.28591574,408.0
36.16881802,36.204345008,681.01238091,408.0
36.168815078,36.196778027,796.23198376,408.0
36.168700445,36.202429792,721.94600959,408.0
36.14016457,36.18917835,383.82263353,408.0
36.155655084,36.188834398,610.83945373,408.0
36.164076587,36.200738317,637.23382808,408.0
36.167567925,36.204125445,653.86762099,408.0
36.168728758,36.202173697,727.91200155,408.0
36.152256314,36.201326363,374.30258608,408.0
36.166319706,36.199177319,732.14331383,408.0
36.16207998,36.198249482,610.41874375,408.0
36.15307903,36.205021364,362.49333665,408.0
36.152806974,36.203775829,365.65355281,408.0
36.163348239,36.194091964,728.37086546,408.0
36.171570083,36.199275722,804.46788219,408.0
36.140674447,36.209494801,311.80717569,408.0
36.17159404,36.203226281,768.97541441,408.0
36.156439104,36.20780566,369.35767987,408.0
36.142086815,36.198716216,354.83758223,408.0
36.151193665,36.203844538,358.76361432,408.0
36.171191955,36.200806066,791.71732888,408.0
36.142552714,36.199333953,352.3877163,408.0
36.172310411,36.200861511,802.53577034,408.0
36.152667623,36.187126879,553.19356817,408.0
36.138050673,36.192905024,375.3976386,408.0
36.147746932,36.189860821,418.61678559,408.0
36.15595003,36.199666302,422.48019681,408.0
36.142996357,36.206037558,321.0729664,408.0
36.151769281,36.211432711,346.55348542,408.0
36.145987301,36.211758175,328.89952766,408.0
36.141508734,36.191575571,387.21112463,408.0
36.151723424,36.196414375,406.53572842,408.0
36.139315084,36.196268814,362.14798591,408.0
36.15523137,36.198414258,430.06344083,408.0
36.170898045,36.204784536,726.82667492,408.0
36.165667671,36.202098953,657.81145138,408.0
36.15095339,36.199562937,376.39594477,408.0
36.140228787,36.191770602,383.27475202,408.0
36.168541265,36.197716138,787.07435024,408.0
36.158093251,36.205046392,402.27335976,408.0
36.148371022,36.210984625,337.30973018,408.0
36.139880384,36.208395099,310.93665019,408.0
36.146978593,36.202709934,344.38518977,408.0
36.170136594,36.205692454,686.6219288,408.0
36.170917545,36.199051012,800.86769313,408.0
36.155281663,36.209900853,355.22147091,408.0
36.148099415,36.187966043,443.85985766,408.0
36.137045882,36.211901,318.77262514,408.0
36.15894647,36.211649511,366.58237762,408.0
36.15146427,36.203694422,360.37615626,408.0
36.173930178,36.20422411,793.95803964,408.0
36.166744424,36.189317788,798.75220444,408.0
36.154147169,36.1877066,586.86879103,408.0
36.149497793,36.201127121,359.75378929,408.0
36.167842732,36.196356296,790.79678512,408.0
36.139233899,36.208083995,310.79730231,408.0
36.175696194,36.209250546,748.30131323,408.0
36.141338989,36.199245902,350.74963657,408.0
36.162185728,36.198821333,603.37465593,408.0
36.169244952,36.200510689,766.84751001,408.0
36.147452692,36.211340472,334.02741445,408.0
36.175682031,36.207954674,771.18591589,408.0
36.150606292,36.196480792,392.71949592,408.0
36.173628066,36.203493022,796.6867916,408.0
36.166563839,36.195044256,787.83904678,408.0
36.138278475,36.194301256,369.96276703,408.0
36.173367688,36.201613587,806.02814795,408.0
36.157525241,36.190861656,624.20835839,408.0
36.15367448,36.200953153,385.77959502,408.0
36.150549296,36.190737344,444.53696279,408.0
36.140895799,36.209348639,311.90983576,408.0
36.163871525,36.200692134,630.96140704,408.0
36.141612615,36.193644785,380.5153586,408.0
36.162473393,36.198145914,627.07356773,408.0
36.168671093,36.201347303,742.73794172,408.0
36.163458941,36.20075832,614.93389065,408.0
36.159201677,36.197415057,529.30410395,408.0
36.142632428,36.211538232,317.92577452,408.0
36.141545026,36.187568296,386.35097678,408.0
36.167069144,36.204231603,638.68006339,408.0
36.154088038,36.208924358,354.67142898,408.0
36.137958796,36.208972101,310.92515656,408.0
36.140764562,36.206532022,315.17179655,408.0
36.172950966,36.202054264,800.50683764,408.0
36.140661219,36.203042234,330.53576144,408.0
36.148986062,36.206722177,342.11261256,408.0
36.137365644,36.209533455,311.98044208,408.0
36.14358092,36.206879625,320.09112706,408.0
36.137918955,36.207431895,311.4035503,408.0
36.167980451,36.197201424,785.19427016,408.0
36.153638327,36.198219823,411.75631094,408.0
36.169170207,36.199363681,779.48684977,408.0
36.175622759,36.206825348,785.06317303,408.0
36.175080733,36.204828647,798.97891506,408.0
36.166692264,36.191497739,805.72799665,408.0
36.147795012,36.205133899,339.89542356,408.0
36.16917632,36.204703544,682.13747395,408.0
36.170106253,36.202075624,758.29863977,408.0
36.15949249,36.197948876,526.64577253,408.0
36.148252729,36.199591456,360.36834139,408.0
36.160693456,36.202892734,482.49198718,408.0
36.151235014,36.196942446,396.28492551,408.0
36.146852034,36.204029422,339.47776474,408.0
36.139956443,36.20933415,311.18699513,408.0
36.160072407,36.203451878,457.6492339,408.0
36.159642828,36.203484026,446.46948263,408.0
36.14685594,36.19922063,357.76349087,408.0
36.164045766,36.207788415,480.25918446,408.0
36.164732271,36.197151836,722.27618105,408.0
36.169384126,36.203290604,719.53357943,408.0
36.159618112,36.196480635,561.97528989,408.0
36.169522969,36.200729563,768.44873206,408.0
36.17586581,36.207276645,781.84420758,408.0
36.151846668,36.195902328,412.96587291,408.0
36.168032002,36.202999196,693.47827621,408.0
36.16979893,36.199645757,785.1560736,408.0
36.170480819,36.211182636,565.10644569,408.0
36.144226063,36.200499107,348.79823128,408.0
36.167853895,36.203546087,675.79726236,408.0
36.139850689,36.207863276,311.32979361,408.0
36.149407318,36.201034467,359.64771934,408.0
36.162312775,36.199095819,602.97606069,408.0
36.14990423,36.196996827,382.56710233,408.0
36.169406373,36.202105075,743.75388592,408.0
36.176193893,36.211364205,701.49129796,408.0
36.151428053,36.206245697,353.439453,408.0
36.170426326,36.197561556,802.57644401,408.0
36.174873975,36.205708546,790.32535182,408.0
36.149982423,36.210418405,343.03118013,408.0
36.163517333,36.201585815,600.46660868,408.0
36.162716906,36.203945884,525.60219097,408.0
36.143635073,36.209388155,317.5809785,408.0
36.164076331,36.197541805,695.22800737,408.0
36.15006683,36.211710843,343.27408108,408.0
36.163481943,36.198112506,664.56682851,408.0
36.147200531,36.191835863,397.86763002,408.0
36.173290501,36.204723408,779.93162096,408.0
